"month","day","year","13055040","Monteria"
"04","23","2012",339.308612440191,413.397129186603
"04","24","2012",156.80956937799,215.311004784689
"04","25","2012",277.43971291866,319.177033492823
"04","26","2012",302.371291866029,340.535885167464
"04","27","2012",NA,342.688995215311
"04","28","2012",NA,390.057416267943
"04","29","2012",NA,276.717703349282
"04","30","2012",277.553110047847,348.976076555024
"05","01","2012",166.70956937799,157.693779904306
"05","02","2012",67.3464114832536,139.004784688995
"05","03","2012",343.953588516746,536.899521531101
"05","04","2012",145.784210526316,192.746411483254
"05","05","2012",268.742583732057,335.799043062201
"05","06","2012",NA,319.004784688995
"05","07","2012",NA,194.296650717703
"05","08","2012",351.275598086124,537.071770334928
"05","09","2012",315.944497607656,358.88038277512
"05","10","2012",342.743540669856,409.349282296651
"05","11","2012",259.952153110048,357.846889952153
"05","12","2012",154.983732057416,212.813397129187
"05","13","2012",348.756459330144,391.952153110048
"05","14","2012",170.908133971292,219.1004784689
"05","15","2012",319.416746411483,464.382775119617
"05","16","2012",318.624401913876,416.411483253589
"05","17","2012",177.047368421053,377.311004784689
"05","18","2012",231.783732057416,282.143540669856
"05","19","2012",203.214832535885,296.095693779904
"05","20","2012",148.363636363636,211.952153110048
"05","21","2012",263.553588516746,410.296650717703
"05","22","2012",172.891866028708,205.578947368421
"05","23","2012",NA,434.928229665072
"05","24","2012",249.941626794258,416.066985645933
"05","25","2012",73.7497607655502,81.5598086124402
"05","26","2012",289.901913875598,384.631578947368
